"","animal.ID","age.years","age.class","Sex","BCS.Average","elevation","CAA.Estimate","Result","x.east","y.south"
"244",255,1.25,"Subadult","Female",4,258.039947509766,NA,"negative",377665.78049976,7312427.65122227
"245",256,1.5,"Subadult","Male",4,258.039947509766,18,"negative",377665.78049976,7312427.65122227
"246",257,2,"Subadult","Female",4.25,258.039947509766,22,"negative",377665.78049976,7312427.65122227
"247",258,5.5,"Adult","Female",4,258.039947509766,20,"negative",377665.78049976,7312427.65122227
"248",259,5.5,"Adult","Female",4.5,258.039947509766,117,"positive",377665.78049976,7312427.65122227
"249",260,1,"Calf","Female",4.25,258.039947509766,11,"negative",377665.78049976,7312427.65122227
"250",261,8.1,"Adult","Female",4.5,258.039947509766,NA,"negative",377665.78049976,7312427.65122227
"251",262,1.25,"Subadult","Male",4.25,258.039947509766,NA,"negative",377665.78049976,7312427.65122227
"252",263,3,"Adult","Female",4.75,255.068313598633,NA,"negative",377411.769933276,7312223.89749051
"253",264,8.777,"Adult","Female",4.75,255.068313598633,NA,"negative",377411.769933276,7312223.89749051
"254",265,4.5,"Adult","Female",4.5,255.068313598633,42,"positive",377411.769933276,7312223.89749051
"255",266,4.5,"Adult","Female",4.25,255.068313598633,74,"positive",377411.769933276,7312223.89749051
"256",267,1,"Subadult","Female",4.25,255.068313598633,19,"negative",377411.769933276,7312223.89749051
"257",268,10.4,"Adult","Female",4.5,255.068313598633,31,"positive",377411.769933276,7312223.89749051
"258",269,4.2,"Adult","Female",4,255.068313598633,NA,"negative",377411.769933276,7312223.89749051
"259",270,4.5,"Adult","Female",4.25,255.068313598633,15,"negative",377411.769933276,7312223.89749051
"260",271,1.25,"Subadult","Male",4,255.068313598633,25,"negative",377411.769933276,7312223.89749051
"261",272,1.25,"Subadult","Female",3.5,255.068313598633,36,"positive",377411.769933276,7312223.89749051
"262",273,6.9,"Adult","Female",4.5,255.068313598633,1,"negative",377411.769933276,7312223.89749051
"263",275,2,"Subadult","Male",4,313.099853515625,0,"negative",353910.201518288,7349024.43105189
"264",276,1.5,"Subadult","Male",4.25,313.099853515625,15,"negative",353910.201518288,7349024.43105189
"265",277,1.5,"Subadult","Male",4.25,313.099853515625,NA,"negative",353910.201518288,7349024.43105189
"266",278,1.75,"Subadult","Female",4.5,313.099853515625,NA,"negative",353910.201518288,7349024.43105189
"267",279,1.25,"Subadult","Male",4,313.099853515625,NA,"negative",353910.201518288,7349024.43105189
"268",280,1.75,"Subadult","Female",4,313.099853515625,NA,"negative",353910.201518288,7349024.43105189
"269",281,1.25,"Subadult","Male",4,313.099853515625,6,"negative",353859.154538543,7349140.19704391
"270",282,1.5,"Subadult","Male",4,313.099853515625,NA,"negative",353859.154538543,7349140.19704391
"271",283,1.5,"Subadult","Female",3.75,313.099853515625,NA,"negative",353859.154538543,7349140.19704391
"272",284,2,"Subadult","Female",4.25,313.099853515625,1,"negative",353859.154538543,7349140.19704391
"273",285,2,"Calf","Female",4,NA,0,"negative",366179.97527874,7379750.59989638
"274",286,1.5,"Subadult","Female",4,NA,NA,"negative",366179.97527874,7379750.59989638
"275",287,1.5,"Subadult","Female",3.5,NA,22,"negative",366179.97527874,7379750.59989638
"276",288,1.5,"Subadult","Male",3.5,NA,NA,"negative",366179.97527874,7379750.59989638
